trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
413,False,"{'a': 0.9, 'e': 1.3886408527036609e-05}",25,11,-15.565918228795741,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
414,False,"{'a': 0.9, 'e': 1.35164918441905e-05}",30,20,18.00139145412533,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.9, 'e': 1.3156429282514847e-05}",20,9,19.995890948626275,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.9, 'e': 1.2805958340455802e-05}",20,10,16.459129400360474,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.9, 'e': 1.2464823509175004e-05}",30,16,27.138499416776824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.9, 'e': 1.2132776086272331e-05}",25,8,29.563636708871723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.9, 'e': 1.180957399447083e-05}",20,8,21.547079321620654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.9, 'e': 1.1494981605131656e-05}",25,15,18.897789401982727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.9, 'e': 1.118876956647037e-05}",20,0,-14.0606761230772,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
422,False,"{'a': 0.9, 'e': 1.0890714636349325e-05}",25,17,16.403389258883273,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.9, 'e': 1.0600599519524233e-05}",20,14,9.07152589148965,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.9, 'e': 1.0318212709226404e-05}",25,13,22.152765832653724,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.9, 'e': 1.004334833296481e-05}",25,19,13.810161925668087,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.9, 'e': 9.775806002436013e-06}",20,15,7.616395505803624,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,4,25.508027999707057,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,7,22.574792244150366,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,10,24.850730780440752,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,13,12.60740915372317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",35,26,17.035596108489454,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,16,9.545916414383889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,12,11.314378245723578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,22,13.038377630484128,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,6,24.88169732474116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,6,25.90432580131028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
