trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.9, 'e': 0.04106496311502191}",30,5,32.468948234283005,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.039971043480788816}",25,11,25.566781037684546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.03890626450748385}",25,19,13.39847582278647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.03786984992407871}",20,14,12.04309807461637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.03686104413844156}",25,5,27.494932512567104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.03587911168647685}",20,0,31.17962421038021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.03492333669593943}",20,11,14.875726577063467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.03399302236453203}",25,15,12.91750594345211,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.033087490451905434}",20,14,12.439823613739708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.03220608078519131}",20,8,7.774335866871467,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.0313481507777069}",20,5,23.423834646676205,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.030513074960480887}",20,7,13.635230440512032,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.029700244526258825}",20,0,34.57411054310626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.9, 'e': 0.028909066885655674}",20,12,13.706147237537902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.028138965235131895}",20,16,8.388815402941201,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.02738937813647813}",25,16,-6.227289561530103,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.026659759107501874}",20,13,14.136212973687863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.025949576223617765}",20,3,-12.640165722003214,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.9, 'e': 0.025258311730050997}",30,13,35.520795737394536,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.024585461664371144}",30,12,29.105980537484033,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 0.023930535489081278}",20,9,20.88164040749698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.023293055733994355}",30,12,34.058489385495285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.02267255764813631}",20,0,31.120313071149805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.9, 'e': 0.022068588860922056}",20,9,21.399337098521467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.021480709052357248}",20,3,28.354304808880443,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.020908489632025507}",30,18,22.163527661530367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.02035151342662707}",20,14,8.547312923412639,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.019809374375840932}",20,3,30.6897025129613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.019281677236288913}",30,7,25.70444153954279,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.018768037293385716}",25,14,-23.258972128870553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.9, 'e': 0.018268080080864963}",20,16,7.4268882328113754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.017781441107776724}",30,6,43.32614148846358,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.01730776559275743}",30,24,12.719243185707231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.016846708205378567}",20,10,14.576376090395174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.01639793281438551}",20,11,16.419129730418796,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.01596111224264294}",20,9,15.298413727349946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.015535928028608223}",25,13,18.520322060618394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.01512207019415884}",20,11,-26.200990055745454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.9, 'e': 0.014719237018604616}",25,17,12.83294160499584,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.014327134818719963}",20,0,28.09476392315855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.9, 'e': 0.013945477734635817}",30,15,-16.775309234899552,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.9, 'e': 0.013573987521435111}",25,14,23.121586680336307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.013212393346299934}",20,10,20.894498812547944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.012860431591062389}",25,15,20.30296170645252,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.012517845660015287}",20,0,-8.29883412809583,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
162,False,"{'a': 0.9, 'e': 0.01218438579284251}",20,13,14.855742409124087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.011859808882532673}",20,10,6.012878414514058,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.01154387829814336}",20,0,-16.143642160763108,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
165,False,"{'a': 0.9, 'e': 0.011236363712286666}",25,13,19.328339566683194,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.010937040933210355}",20,13,12.515401426651806,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.010645691741352119}",25,13,-20.029178769090283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.9, 'e': 0.010362103730247868}",20,14,9.122983401703017,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.010086070151678025}",25,13,22.038045163703934,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.009817389764938877}",20,0,31.180204773885176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.9, 'e': 0.00955586669012922}",30,22,11.870595910355867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.009301310265345232}",20,12,13.974374450892336,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.009053534907679493}",20,9,21.352761814733487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.008812359977922832}",20,8,23.840010727461845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.008577609648870343}",25,7,31.65609819877356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.008349112777135567}",25,10,24.27028067105767,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.008126702778379378}",30,8,35.56462864357704,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.007910217505862627}",20,14,12.8189415840529,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.007699499132233988}",25,2,-17.09073595495408,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.9, 'e': 0.0074943940344668275}",25,20,9.122776110392206,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.007294752681861213}",25,0,36.27481130408871,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.9, 'e': 0.007100429527029415}",25,14,18.81421847053663,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.00691128289978541}",30,0,39.994035529203934,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.9, 'e': 0.006727174903861044}",25,11,26.7143469643857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.006547971316373546}",20,10,-23.25985118994028,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.9, 'e': 0.0063735414899711}",20,13,13.741919318453863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.00620375825758514}",20,16,6.205483901141802,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.006038497839719928}",30,17,17.6439901738247,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.005877639754211814}",20,0,30.287775242591167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.9, 'e': 0.005721066728392408}",25,17,16.02628379952708,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.005568664613591609}",25,15,15.528090965970708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.005420322301918169}",20,16,8.22935598758136,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 0.005275931645257115}",20,14,10.71814772661253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.005135387376425001}",20,10,16.913045819153524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.004998587032425446}",20,15,9.344317084024022,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.004865430879749081}",25,18,11.252878260653242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.004735821841663411}",25,16,14.971897463819714,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.004609665427439569}",20,10,16.104716172871886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.00448686966346439}",30,16,21.888682763609538,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 0.0043673450261875815}",20,11,18.761918631383946,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.004251004376855081}",20,16,8.212755246565541,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.004137762897981051}",20,6,27.090382703415656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.004027538031512173}",25,20,10.915975285680911,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.003920249418639172}",30,19,19.79727079048601,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.003815818841211683}",25,15,16.993581442326562,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.0037141701647137593}",20,8,17.510511229004347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.003615229282758435}",20,13,13.211414435801364,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.9, 'e': 0.0035189240630608873}",20,11,12.658139647247596,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 0.0034251842948508082}",25,0,32.981654073095314,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.9, 'e': 0.0033339416376856426}",30,10,37.41622033687962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.003245129571627377}",20,6,28.896120274393084,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.0031586833487465627}",20,10,17.647972651739565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.9, 'e': 0.0030745399459182034}",20,4,27.735883703028154,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.0029926380188751095}",20,12,16.28548721378737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9, 'e': 0.0029129178574852075}",20,16,7.071596566220842,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.9, 'e': 0.0028353213422202127}",20,12,15.075348679623305,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.0027597919017839146}",25,14,10.570902721429182,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.0026862744718692015}",20,0,39.07877341719355,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
219,False,"{'a': 0.9, 'e': 0.002614715455013735}",25,14,18.145969493842546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.0025450626815250402}",25,13,22.52711953637867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9, 'e': 0.0024772653714464706}",20,16,7.095489878122185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.0024112740975363836}",20,0,32.041710947584995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.002347040749233489}",20,8,22.088506014553936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 0.002284518497582118}",25,15,18.59078190669081,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.002223661761091843}",20,10,19.822877966505807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.0021644261725065487}",30,0,47.74158150421024,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.9, 'e': 0.0021067685464587426}",20,10,21.0767473618731,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.0020506468479855036}",25,10,24.865433965769935,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.0019960201618831374}",25,13,18.917112810527,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.9, 'e': 0.0019428486628781782}",30,16,26.995064593588506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9, 'e': 0.001891093586593001}",25,14,22.40248487817357,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.0018407172012848741}",20,16,7.7218401795787255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.9, 'e': 0.0017916827803378472}",20,8,6.742723731237016,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.9, 'e': 0.0017439545754874225}",30,23,12.521720216941755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9, 'e': 0.001697497790758485}",20,12,14.8502436617266,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.0016522785570974976}",30,16,25.85816178607614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.0016082639076804598}",25,11,28.66829871685651,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.9, 'e': 0.0015654217538786336}",35,19,30.444252351414985,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.0015237208618645113}",30,12,20.065748370235394,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.9, 'e': 0.001483130829840973}",30,7,-1.4233421382127014,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.9, 'e': 0.0014436220658770292}",20,13,15.90010125093987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.001405165766333993}",20,12,14.520617617047744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 0.0013677338948663513}",20,5,19.77348700943668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9, 'e': 0.0013312991619820282}",20,12,8.785790530586858,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.0012958350051471348}",25,15,21.211406305676732,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 0.0012613155694207103}",30,16,27.57434696866229,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.0012277156886053183}",20,16,7.259192525727052,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.0011950108668997783}",35,19,31.443893646912063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.001163177261040642}",30,10,30.325364516788216,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.9, 'e': 0.001132191662919397}",25,7,33.711648659096966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.9, 'e': 0.0011020314826627273}",20,13,8.812019015660763,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.9, 'e': 0.0010726747321634978}",25,15,20.98928354275482,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.0010441000090504475}",25,14,19.926798126934656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.9, 'e': 0.0010162864810849149}",20,9,21.39445798564156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.9, 'e': 0.000989213870973212}",25,9,26.478716944899592,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.9, 'e': 0.0009628624415835806}",20,8,21.796693745857635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.9, 'e': 0.000937212981556948}",30,14,31.01192393870542,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.9, 'e': 0.0009122467913009962}",20,7,26.524974223477155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.0008879456693573301}",20,5,32.633305876569764,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.9, 'e': 0.0008642918991318089}",20,11,12.640473192306938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.9, 'e': 0.0008412682359783643}",35,20,-12.474007195647973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
262,False,"{'a': 0.9, 'e': 0.0008188578946268894}",30,22,16.356043133144418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.9, 'e': 0.0007970445369460334}",20,11,14.681654731026272,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.0007758122600319812}",25,13,27.09081013211837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.0007551455846145306}",25,14,17.22500307168508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.0007350294437720205}",25,10,22.800948760409458,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.9, 'e': 0.0007154491719468766}",25,7,27.34509413594598,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.9, 'e': 0.0006963904942537704}",20,14,-31.54498289569448,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
269,False,"{'a': 0.9, 'e': 0.0006778395160725964}",20,12,16.06669906316976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.9, 'e': 0.0006597827129186779}",20,14,9.03218387737195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.9, 'e': 0.0006422069205828188}",20,10,19.597919540335358,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.9, 'e': 0.0006250993255340135}",30,20,24.01501498133618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.9, 'e': 0.0006084474555778129}",30,22,8.719743842226269,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.9, 'e': 0.0005922391707635437}",20,10,20.194494627924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.9, 'e': 0.0005764626545337465}",20,0,27.142568100244787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.0005611064051093823}",25,14,-4.348419897530846,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
277,False,"{'a': 0.9, 'e': 0.0005461592271045258}",20,16,8.536655043295273,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.9, 'e': 0.0005316102233644334}",30,16,26.957902322933943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.0005174487870210347}",20,16,7.665171851030469,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.0005036645937600564}",20,14,12.68544048666174,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.9, 'e': 0.0004902475942941392}",30,19,12.967867691584717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.9, 'e': 0.00047718800703646264}",25,16,17.954074120554036,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 0.00046447631096953513}",25,19,11.948595021652874,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.9, 'e': 0.000452103238703951}",30,7,33.676772656212314,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.9, 'e': 0.0004400597697220517}",25,0,-6.60739288856003,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
286,False,"{'a': 0.9, 'e': 0.0004283371238015703}",20,12,15.849418573622922,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 0.00041692675461446035}",25,18,12.411720355185023,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.0004058203434962439}",25,15,18.10394876408594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 0.0003950097933813371}",30,18,21.534797839727158,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.9, 'e': 0.00038448722289993}",30,10,18.51980112878968,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.9, 'e': 0.00037424496063212054}",30,16,28.11012561493606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.00036427553951510767}",30,19,22.479333639208328,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.9, 'e': 0.00035457169139937306}",20,6,24.025672129015714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.9, 'e': 0.00034512634174987803}",20,9,18.78658560069274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.9, 'e': 0.00033593260448841407}",20,14,12.838706693789797,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.9, 'e': 0.0003269837769733467}",20,8,21.16997507973366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.9, 'e': 0.00031827333511309384}",20,0,33.69346750900441,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
298,False,"{'a': 0.9, 'e': 0.00030979492860977253}",20,13,14.533010567280382,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.9, 'e': 0.0003015423763295517}",25,8,29.271877611958107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.9, 'e': 0.00029350966179633145}",30,20,17.916208038185903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
